Senatus consultum de Bacchanalibus;II BCE;-2;Legal text
Rhetorica ad Herennium;I BCE;-1;Technical texts: rhetoric
Satires;II;2;Poetry
Regula Benedicti;VI;6;Christian theological text
Historia Apolonii Regis Tyrii;V-VI;5.5;Fiction
Itinerarium Egeriae;V;5;Travel literature
Vulgate;IV;4;Christian theological text
De Rerum Natura;I BCE;-1;Poetry,Philosophy
Octavius;III;3;Dialogue,Philosophy
Metamorphoses;I BCE;-1;Poetry
Satyricon;I;1;Fiction
Poenelus;III/II BCE;-2.5;Poetry,Comedy
Institutio Oratoria;I;1;Technical texts: rhetoric
Bellum Iugurthinum;I BCE;-1;Historical writing
De spectaculis;II;2;Philosophy
