"id"",""book"",""chapter"
"acts-01"",""acts"",""01"
"acts-02"",""acts"",""02"
"acts-03"",""acts"",""03"
"acts-04"",""acts"",""04"
"acts-05"",""acts"",""05"
"acts-06"",""acts"",""06"
"acts-07"",""acts"",""07"
"acts-08"",""acts"",""08"
"acts-09"",""acts"",""09"
"acts-10"",""acts"",""10"
"acts-11"",""acts"",""11"
"acts-12"",""acts"",""12"
"acts-13"",""acts"",""13"
"acts-14"",""acts"",""14"
"acts-15"",""acts"",""15"
"acts-16"",""acts"",""16"
"acts-17"",""acts"",""17"
"acts-18"",""acts"",""18"
"acts-19"",""acts"",""19"
"acts-20"",""acts"",""20"
"acts-21"",""acts"",""21"
"acts-22"",""acts"",""22"
"acts-23"",""acts"",""23"
"acts-24"",""acts"",""24"
"acts-25"",""acts"",""25"
"acts-26"",""acts"",""26"
"acts-27"",""acts"",""27"
"acts-28"",""acts"",""28"
"colossians-01"",""colossians"",""01"
"colossians-02"",""colossians"",""02"
"colossians-03"",""colossians"",""03"
"colossians-04"",""colossians"",""04"
"corinthians1-01"",""corinthians1"",""01"
"corinthians1-02"",""corinthians1"",""02"
"corinthians1-03"",""corinthians1"",""03"
"corinthians1-04"",""corinthians1"",""04"
"corinthians1-05"",""corinthians1"",""05"
"corinthians1-06"",""corinthians1"",""06"
"corinthians1-07"",""corinthians1"",""07"
"corinthians1-08"",""corinthians1"",""08"
"corinthians1-09"",""corinthians1"",""09"
"corinthians1-10"",""corinthians1"",""10"
"corinthians1-11"",""corinthians1"",""11"
"corinthians1-12"",""corinthians1"",""12"
"corinthians1-13"",""corinthians1"",""13"
"corinthians1-14"",""corinthians1"",""14"
"corinthians1-15"",""corinthians1"",""15"
"corinthians1-16"",""corinthians1"",""16"
"corinthians2-01"",""corinthians2"",""01"
"corinthians2-02"",""corinthians2"",""02"
"corinthians2-03"",""corinthians2"",""03"
"corinthians2-04"",""corinthians2"",""04"
"corinthians2-05"",""corinthians2"",""05"
"corinthians2-06"",""corinthians2"",""06"
"corinthians2-07"",""corinthians2"",""07"
"corinthians2-08"",""corinthians2"",""08"
"corinthians2-09"",""corinthians2"",""09"
"corinthians2-10"",""corinthians2"",""10"
"corinthians2-11"",""corinthians2"",""11"
"corinthians2-12"",""corinthians2"",""12"
"corinthians2-13"",""corinthians2"",""13"
"ephesians-01"",""ephesians"",""01"
"ephesians-02"",""ephesians"",""02"
"ephesians-03"",""ephesians"",""03"
"ephesians-04"",""ephesians"",""04"
"ephesians-05"",""ephesians"",""05"
"ephesians-06"",""ephesians"",""06"
"epistle_john1-01"",""epistle_john1"",""01"
"epistle_john1-02"",""epistle_john1"",""02"
"epistle_john1-03"",""epistle_john1"",""03"
"epistle_john1-04"",""epistle_john1"",""04"
"epistle_john1-05"",""epistle_john1"",""05"
"epistle_john2-01"",""epistle_john2"",""01"
"epistle_john3-01"",""epistle_john3"",""01"
"galatians-01"",""galatians"",""01"
"galatians-02"",""galatians"",""02"
"galatians-03"",""galatians"",""03"
"galatians-04"",""galatians"",""04"
"galatians-05"",""galatians"",""05"
"galatians-06"",""galatians"",""06"
"hebrews-01"",""hebrews"",""01"
"hebrews-02"",""hebrews"",""02"
"hebrews-03"",""hebrews"",""03"
"hebrews-04"",""hebrews"",""04"
"hebrews-05"",""hebrews"",""05"
"hebrews-06"",""hebrews"",""06"
"hebrews-07"",""hebrews"",""07"
"hebrews-08"",""hebrews"",""08"
"hebrews-09"",""hebrews"",""09"
"hebrews-10"",""hebrews"",""10"
"hebrews-11"",""hebrews"",""11"
"hebrews-12"",""hebrews"",""12"
"hebrews-13"",""hebrews"",""13"
"james-01"",""james"",""01"
"james-02"",""james"",""02"
"james-03"",""james"",""03"
"james-04"",""james"",""04"
"james-05"",""james"",""05"
"john-01"",""john"",""01"
"john-02"",""john"",""02"
"john-03"",""john"",""03"
"john-04"",""john"",""04"
"john-05"",""john"",""05"
"john-06"",""john"",""06"
"john-07"",""john"",""07"
"john-08"",""john"",""08"
"john-09"",""john"",""09"
"john-10"",""john"",""10"
"john-11"",""john"",""11"
"john-12"",""john"",""12"
"john-13"",""john"",""13"
"john-14"",""john"",""14"
"john-15"",""john"",""15"
"john-16"",""john"",""16"
"john-17"",""john"",""17"
"john-18"",""john"",""18"
"john-19"",""john"",""19"
"john-20"",""john"",""20"
"john-21"",""john"",""21"
"jude-01"",""jude"",""01"
"luke-01"",""luke"",""01"
"luke-02"",""luke"",""02"
"luke-03"",""luke"",""03"
"luke-04"",""luke"",""04"
"luke-05"",""luke"",""05"
"luke-06"",""luke"",""06"
"luke-07"",""luke"",""07"
"luke-08"",""luke"",""08"
"luke-09"",""luke"",""09"
"luke-10"",""luke"",""10"
"luke-11"",""luke"",""11"
"luke-12"",""luke"",""12"
"luke-13"",""luke"",""13"
"luke-14"",""luke"",""14"
"luke-15"",""luke"",""15"
"luke-16"",""luke"",""16"
"luke-17"",""luke"",""17"
"luke-18"",""luke"",""18"
"luke-19"",""luke"",""19"
"luke-20"",""luke"",""20"
"luke-21"",""luke"",""21"
"luke-22"",""luke"",""22"
"luke-23"",""luke"",""23"
"luke-24"",""luke"",""24"
"mark-01"",""mark"",""01"
"mark-02"",""mark"",""02"
"mark-03"",""mark"",""03"
"mark-04"",""mark"",""04"
"mark-05"",""mark"",""05"
"mark-06"",""mark"",""06"
"mark-07"",""mark"",""07"
"mark-08"",""mark"",""08"
"mark-09"",""mark"",""09"
"mark-10"",""mark"",""10"
"mark-11"",""mark"",""11"
"mark-12"",""mark"",""12"
"mark-13"",""mark"",""13"
"mark-14"",""mark"",""14"
"mark-15"",""mark"",""15"
"mark-16"",""mark"",""16"
"matthew-01"",""matthew"",""01"
"matthew-02"",""matthew"",""02"
"matthew-03"",""matthew"",""03"
"matthew-04"",""matthew"",""04"
"matthew-05"",""matthew"",""05"
"matthew-06"",""matthew"",""06"
"matthew-07"",""matthew"",""07"
"matthew-08"",""matthew"",""08"
"matthew-09"",""matthew"",""09"
"matthew-10"",""matthew"",""10"
"matthew-11"",""matthew"",""11"
"matthew-12"",""matthew"",""12"
"matthew-13"",""matthew"",""13"
"matthew-14"",""matthew"",""14"
"matthew-15"",""matthew"",""15"
"matthew-16"",""matthew"",""16"
"matthew-17"",""matthew"",""17"
"matthew-18"",""matthew"",""18"
"matthew-19"",""matthew"",""19"
"matthew-20"",""matthew"",""20"
"matthew-21"",""matthew"",""21"
"matthew-22"",""matthew"",""22"
"matthew-23"",""matthew"",""23"
"matthew-24"",""matthew"",""24"
"matthew-25"",""matthew"",""25"
"matthew-26"",""matthew"",""26"
"matthew-27"",""matthew"",""27"
"matthew-28"",""matthew"",""28"
"peter1-01"",""peter1"",""01"
"peter1-02"",""peter1"",""02"
"peter1-03"",""peter1"",""03"
"peter1-04"",""peter1"",""04"
"peter1-05"",""peter1"",""05"
"peter2-01"",""peter2"",""01"
"peter2-02"",""peter2"",""02"
"peter2-03"",""peter2"",""03"
"philemon-01"",""philemon"",""01"
"philippians-01"",""philippians"",""01"
"philippians-02"",""philippians"",""02"
"philippians-03"",""philippians"",""03"
"philippians-04"",""philippians"",""04"
"revelation-01"",""revelation"",""01"
"revelation-02"",""revelation"",""02"
"revelation-03"",""revelation"",""03"
"revelation-04"",""revelation"",""04"
"revelation-05"",""revelation"",""05"
"revelation-06"",""revelation"",""06"
"revelation-07"",""revelation"",""07"
"revelation-08"",""revelation"",""08"
"revelation-09"",""revelation"",""09"
"revelation-10"",""revelation"",""10"
"revelation-11"",""revelation"",""11"
"revelation-12"",""revelation"",""12"
"revelation-13"",""revelation"",""13"
"revelation-14"",""revelation"",""14"
"revelation-15"",""revelation"",""15"
"revelation-16"",""revelation"",""16"
"revelation-17"",""revelation"",""17"
"revelation-18"",""revelation"",""18"
"revelation-19"",""revelation"",""19"
"revelation-20"",""revelation"",""20"
"revelation-21"",""revelation"",""21"
"revelation-22"",""revelation"",""22"
"romans-01"",""romans"",""01"
"romans-02"",""romans"",""02"
"romans-03"",""romans"",""03"
"romans-04"",""romans"",""04"
"romans-05"",""romans"",""05"
"romans-06"",""romans"",""06"
"romans-07"",""romans"",""07"
"romans-08"",""romans"",""08"
"romans-09"",""romans"",""09"
"romans-10"",""romans"",""10"
"romans-11"",""romans"",""11"
"romans-12"",""romans"",""12"
"romans-13"",""romans"",""13"
"romans-14"",""romans"",""14"
"romans-15"",""romans"",""15"
"romans-16"",""romans"",""16"
"thessalonians1-01"",""thessalonians1"",""01"
"thessalonians1-02"",""thessalonians1"",""02"
"thessalonians1-03"",""thessalonians1"",""03"
"thessalonians1-04"",""thessalonians1"",""04"
"thessalonians1-05"",""thessalonians1"",""05"
"thessalonians2-01"",""thessalonians2"",""01"
"thessalonians2-02"",""thessalonians2"",""02"
"thessalonians2-03"",""thessalonians2"",""03"
"timothy1-01"",""timothy1"",""01"
"timothy1-02"",""timothy1"",""02"
"timothy1-03"",""timothy1"",""03"
"timothy1-04"",""timothy1"",""04"
"timothy1-05"",""timothy1"",""05"
"timothy1-06"",""timothy1"",""06"
"timothy2-01"",""timothy2"",""01"
"timothy2-02"",""timothy2"",""02"
"timothy2-03"",""timothy2"",""03"
"timothy2-04"",""timothy2"",""04"
"titus-01"",""titus"",""01"
"titus-02"",""titus"",""02"
"titus-03"",""titus"",""03"
